iss_date,NOME_NUTS2,CASI_CUMULATIVI
11/01/2022,Abruzzo,147783
11/01/2022,Basilicata,43256
11/01/2022,Calabria,113799
11/01/2022,Campania,703825
11/01/2022,Emilia-Romagna,691110
11/01/2022,Friuli-Venezia Giulia,159976
11/01/2022,Lazio,626769
11/01/2022,Liguria,183428
11/01/2022,Lombardia,1599223
11/01/2022,Marche,160850
11/01/2022,Molise,20205
11/01/2022,Piemonte,512245
11/01/2022,Provincia Autonoma di Bolzano/Bozen,92541
11/01/2022,Provincia Autonoma di Trento,80974
11/01/2022,Puglia,363496
11/01/2022,Sardegna,95340
11/01/2022,Sicilia,412236
11/01/2022,Toscana,381411
11/01/2022,Umbria,115616
11/01/2022,Valle d'Aosta/Vallée d'Aoste,21393
11/01/2022,Veneto,802720
